arm,trial,scenario,lang,intent,scored,n_slots,slot_heard,slots_all_heard,missed_heard,slot_echoed,slots_all_echoed,missed_echoed,tools_called,tool_ok,grounded_n,grounded_hit,grounded_ok,forbidden_hit,forbidden_terms,ttfa_ms_all,ttfa_p50_ms,bargein_attempts,bargein_inflight,bargein_stop_ms,bargein_correct,agent_turns,n_turns_expected,session_s,error,judge_grounded,judge_resolution,judge_tone,success
vl-gpt41mini-semvad,3,emergency-de-01,de_DE,handoff,1,0,,,,,,,,1,1,1,1,0,,1369.3;1510.5,1510.5,0,0,,,2,2,15.5,,1.0,2.0,2.0,1
vl-gpt41mini-semvad,3,codeswitch-01,de_DE,grounded_qa,1,1,1.0,1,,1.0,1,,,0,1,1,1,0,,1817.8;1423.3;1289.5,1423.3,0,0,,,3,3,21.3,,1.0,2.0,2.0,0
vl-native-brain,3,book-de-01,de_DE,book_appointment,1,5,0.8,0,first_name,0.6,0,"first_name,phone",end_call,1,0,0,1,0,,2472.6;3077.1;3136.5;3351.9,3136.5,0,0,,,5,5,68.1,,1.0,1.0,1.0,0
vl-native-brain,3,hours-de-01,de_DE,grounded_qa,1,0,,,,,,,,0,2,2,1,0,,1928.2;1925.0;2107.6,1928.2,0,0,,,3,3,18.9,,1.0,2.0,2.0,0
vl-native-brain,3,holiday-de-01,de_DE,grounded_qa,1,0,,,,,,,end_call,1,1,1,1,0,,2425.3;2130.0,2425.3,0,0,,,2,3,42.7,,1.0,2.0,1.0,1
vl-native-brain,3,message-de-01,de_DE,take_message,1,3,1.0,1,,0.667,0,first_name,end_call,1,0,0,1,0,,1941.9;2632.2;2078.0,2078.0,0,0,,,3,4,58.0,,1.0,2.0,1.0,1
vl-native-brain,3,emergency-de-01,de_DE,handoff,1,0,,,,,,,,1,1,1,1,0,,3468.1;2580.7,3468.1,0,0,,,3,2,19.1,,1.0,2.0,2.0,1
vl-native-brain,3,codeswitch-01,de_DE,grounded_qa,1,1,1.0,1,,1.0,1,,,0,1,1,1,0,,2429.7;2163.3;2411.8,2411.8,0,0,,,3,3,22.0,,1.0,2.0,2.0,0
native-gpt-realtime-2,3,book-de-01,de_DE,book_appointment,1,5,0.8,0,first_name,0.8,0,first_name,end_call,1,0,0,1,0,,1868.8;3262.3;1863.2;1926.7,1926.7,0,0,,,5,5,72.5,,1.0,2.0,1.0,0
native-gpt-realtime-2,3,hours-de-01,de_DE,grounded_qa,1,0,,,,,,,end_call,1,2,2,1,0,,4357.3;2017.1,4357.3,0,0,,,2,3,45.7,,1.0,2.0,1.0,1
native-gpt-realtime-2,3,holiday-de-01,de_DE,grounded_qa,1,0,,,,,,,end_call,1,1,1,1,0,,2204.3;2198.7,2204.3,0,0,,,2,3,43.3,,1.0,2.0,2.0,1
native-gpt-realtime-2,3,message-de-01,de_DE,take_message,1,3,0.667,0,first_name,0.667,0,phone,,0,0,0,1,0,,2569.9;-5461.8;1814.3;-1678.8,1814.3,0,0,,,2,4,28.9,,1.0,1.0,1.0,0
native-gpt-realtime-2,3,emergency-de-01,de_DE,handoff,1,0,,,,,,,,1,1,1,1,0,,1999.6;3811.8,3811.8,0,0,,,3,2,24.4,,1.0,1.0,1.0,1
native-gpt-realtime-2,3,codeswitch-01,de_DE,grounded_qa,1,1,1.0,1,,1.0,1,,,0,1,1,1,0,,1909.1;2110.2;1811.5,1909.1,0,0,,,3,3,23.2,,1.0,2.0,2.0,0
