arm,trial,scenario,lang,intent,n_slots,slot_heard,slots_all_heard,missed_heard,slot_echoed,slots_all_echoed,missed_echoed,tools_called,tool_ok,grounded_n,grounded_hit,grounded_ok,forbidden_hit,forbidden_terms,ttfa_p50_ms,bargein_attempts,bargein_inflight,bargein_stop_ms,bargein_correct,agent_turns,session_s,error
vl-gpt41mini-semvad,2,book-de-01,de_DE,book_appointment,5,0.8,0,first_name,0.8,0,first_name,end_call,1,0,0,1,0,,1807.0,0,0,,,4,64.6,
vl-gpt41mini-semvad,2,hours-de-01,de_DE,grounded_qa,0,,,,,,,,0,2,2,1,0,,1318.0,0,0,,,3,17.7,
vl-gpt41mini-semvad,2,holiday-de-01,de_DE,grounded_qa,0,,,,,,,end_call,1,1,1,1,0,,1319.7,0,0,,,2,39.2,
vl-gpt41mini-semvad,2,message-de-01,de_DE,take_message,3,1.0,1,,0.667,0,first_name,end_call,1,0,0,1,0,,1381.9,0,0,,,3,57.9,
vl-gpt41mini-semvad,2,emergency-de-01,de_DE,handoff,0,,,,,,,,1,1,1,1,0,,1735.8,0,0,,,2,16.1,
vl-gpt41mini-semvad,2,bargein-de-01,de_DE,grounded_qa,0,,,,,,,,1,1,1,1,0,,1489.3,1,0,,1,2,13.5,
vl-gpt41mini-semvad,2,codeswitch-01,de_DE,grounded_qa,1,1.0,1,,1.0,1,,,0,1,1,1,0,,1325.8,0,0,,,3,19.3,
vl-native-brain,2,book-de-01,de_DE,book_appointment,5,0.8,0,first_name,0.8,0,first_name,end_call,1,0,0,1,0,,2378.4,0,0,,,5,43.5,
vl-native-brain,2,hours-de-01,de_DE,grounded_qa,0,,,,,,,,0,2,2,1,0,,2288.8,0,0,,,3,20.3,
vl-native-brain,2,holiday-de-01,de_DE,grounded_qa,0,,,,,,,end_call,1,1,1,1,0,,2567.6,0,0,,,2,42.5,
vl-native-brain,2,message-de-01,de_DE,take_message,3,1.0,1,,1.0,1,,end_call,1,0,0,1,0,,2467.0,0,0,,,4,35.9,
vl-native-brain,2,emergency-de-01,de_DE,handoff,0,,,,,,,,1,1,1,1,0,,4490.8,0,0,,,2,20.0,
vl-native-brain,2,bargein-de-01,de_DE,grounded_qa,0,,,,,,,,1,1,0,0,0,,2238.8,1,0,21.9,1,2,14.9,
vl-native-brain,2,codeswitch-01,de_DE,grounded_qa,1,1.0,1,,1.0,1,,,0,1,1,1,0,,2217.4,0,0,,,3,21.9,
native-gpt-realtime-2,2,book-de-01,de_DE,book_appointment,5,0.8,0,first_name,0.8,0,first_name,end_call,1,0,0,1,0,,2086.8,0,0,,,5,70.3,
native-gpt-realtime-2,2,hours-de-01,de_DE,grounded_qa,0,,,,,,,end_call,1,2,2,1,0,,1911.8,0,0,,,3,20.7,
native-gpt-realtime-2,2,holiday-de-01,de_DE,grounded_qa,0,,,,,,,end_call,1,1,1,1,0,,2208.2,0,0,,,3,21.2,
native-gpt-realtime-2,2,message-de-01,de_DE,take_message,3,0.667,0,first_name,0.333,0,"first_name,phone",,0,0,0,1,0,,1764.1,0,0,,,2,28.8,
native-gpt-realtime-2,2,emergency-de-01,de_DE,handoff,0,,,,,,,,1,1,1,1,0,,4148.7,0,0,,,2,23.3,
native-gpt-realtime-2,2,bargein-de-01,de_DE,grounded_qa,0,,,,,,,,1,1,1,1,0,,2110.6,1,0,257.7,1,2,15.2,
native-gpt-realtime-2,2,codeswitch-01,de_DE,grounded_qa,1,1.0,1,,1.0,1,,,0,1,1,1,0,,2100.8,0,0,,,3,25.6,
vl-gpt41mini,3,book-de-01,de_DE,book_appointment,5,0.8,0,first_name,0.6,0,"first_name,phone",end_call,1,0,0,1,0,,1454.7,0,0,,,5,39.0,
vl-gpt41mini,3,hours-de-01,de_DE,grounded_qa,0,,,,,,,,0,2,2,1,0,,1287.4,0,0,,,3,17.0,
vl-gpt41mini,3,holiday-de-01,de_DE,grounded_qa,0,,,,,,,end_call,1,1,1,1,0,,1354.3,0,0,,,2,39.5,
vl-gpt41mini,3,message-de-01,de_DE,take_message,3,1.0,1,,0.333,0,"first_name,phone",end_call,1,0,0,1,0,,1352.1,0,0,,,3,55.0,
vl-gpt41mini,3,emergency-de-01,de_DE,handoff,0,,,,,,,,1,1,1,1,0,,1394.2,0,0,,,2,16.3,
vl-gpt41mini,3,bargein-de-01,de_DE,grounded_qa,0,,,,,,,,1,1,1,1,0,,1559.7,1,0,,1,2,13.8,
vl-gpt41mini,3,codeswitch-01,de_DE,grounded_qa,1,1.0,1,,1.0,1,,,0,1,1,1,0,,1322.3,0,0,,,3,19.7,
vl-gpt41mini-dns,3,book-de-01,de_DE,book_appointment,5,0.8,0,first_name,0.6,0,"first_name,phone",end_call,1,0,0,1,0,,1396.7,0,0,,,5,39.0,
vl-gpt41mini-dns,3,hours-de-01,de_DE,grounded_qa,0,,,,,,,,0,2,2,1,0,,1371.9,0,0,,,3,18.8,
vl-gpt41mini-dns,3,holiday-de-01,de_DE,grounded_qa,0,,,,,,,end_call,1,1,1,1,0,,1480.8,0,0,,,2,39.8,
vl-gpt41mini-dns,3,message-de-01,de_DE,take_message,3,1.0,1,,0.333,0,"first_name,phone",end_call,1,0,0,1,0,,1533.0,0,0,,,3,57.3,
vl-gpt41mini-dns,3,emergency-de-01,de_DE,handoff,0,,,,,,,,1,1,1,1,0,,1802.7,0,0,,,2,17.7,
vl-gpt41mini-dns,3,bargein-de-01,de_DE,grounded_qa,0,,,,,,,,1,1,1,1,0,,1695.6,1,0,,1,2,13.6,
vl-gpt41mini-dns,3,codeswitch-01,de_DE,grounded_qa,1,1.0,1,,0.0,0,final_language,,0,1,1,1,0,,1341.7,0,0,,,3,19.5,
vl-gpt41mini-semvad,3,book-de-01,de_DE,book_appointment,5,0.8,0,first_name,0.6,0,"first_name,phone",end_call,1,0,0,1,0,,1411.7,0,0,,,5,39.2,
vl-gpt41mini-semvad,3,hours-de-01,de_DE,grounded_qa,0,,,,,,,,0,2,2,1,0,,1307.5,0,0,,,3,16.6,
vl-gpt41mini-semvad,3,holiday-de-01,de_DE,grounded_qa,0,,,,,,,end_call,1,1,1,1,0,,1331.1,0,0,,,2,39.2,
vl-gpt41mini-semvad,3,message-de-01,de_DE,take_message,3,1.0,1,,1.0,1,,end_call,1,0,0,1,0,,1363.9,0,0,,,3,56.3,
vl-gpt41mini-semvad,3,emergency-de-01,de_DE,handoff,0,,,,,,,,1,1,1,1,0,,1510.5,0,0,,,2,15.5,
vl-gpt41mini-semvad,3,bargein-de-01,de_DE,grounded_qa,0,,,,,,,,1,1,1,1,0,,1515.2,1,0,,1,2,13.8,
vl-gpt41mini-semvad,3,codeswitch-01,de_DE,grounded_qa,1,1.0,1,,1.0,1,,,0,1,1,1,0,,1423.3,0,0,,,3,21.3,
vl-native-brain,3,book-de-01,de_DE,book_appointment,5,0.8,0,first_name,0.6,0,"first_name,phone",end_call,1,0,0,1,0,,3136.5,0,0,,,5,68.1,
vl-native-brain,3,hours-de-01,de_DE,grounded_qa,0,,,,,,,,0,2,2,1,0,,1928.2,0,0,,,3,18.9,
vl-native-brain,3,holiday-de-01,de_DE,grounded_qa,0,,,,,,,end_call,1,1,1,1,0,,2425.3,0,0,,,2,42.7,
vl-native-brain,3,message-de-01,de_DE,take_message,3,1.0,1,,0.667,0,first_name,end_call,1,0,0,1,0,,2078.0,0,0,,,3,58.0,
vl-native-brain,3,emergency-de-01,de_DE,handoff,0,,,,,,,,1,1,1,1,0,,3468.1,0,0,,,3,19.1,
vl-native-brain,3,bargein-de-01,de_DE,grounded_qa,0,,,,,,,,1,1,0,0,0,,2740.4,1,0,489.5,1,2,15.4,
vl-native-brain,3,codeswitch-01,de_DE,grounded_qa,1,1.0,1,,1.0,1,,,0,1,1,1,0,,2411.8,0,0,,,3,22.0,
native-gpt-realtime-2,3,book-de-01,de_DE,book_appointment,5,0.8,0,first_name,0.8,0,first_name,end_call,1,0,0,1,0,,1926.7,0,0,,,5,72.5,
native-gpt-realtime-2,3,hours-de-01,de_DE,grounded_qa,0,,,,,,,end_call,1,2,2,1,0,,4357.3,0,0,,,2,45.7,
native-gpt-realtime-2,3,holiday-de-01,de_DE,grounded_qa,0,,,,,,,end_call,1,1,1,1,0,,2204.3,0,0,,,2,43.3,
native-gpt-realtime-2,3,message-de-01,de_DE,take_message,3,0.667,0,first_name,0.667,0,phone,,0,0,0,1,0,,1814.3,0,0,,,2,28.9,
native-gpt-realtime-2,3,emergency-de-01,de_DE,handoff,0,,,,,,,,1,1,1,1,0,,3811.8,0,0,,,3,24.4,
native-gpt-realtime-2,3,bargein-de-01,de_DE,grounded_qa,0,,,,,,,,1,1,0,0,0,,1759.7,1,0,288.5,1,2,14.7,
native-gpt-realtime-2,3,codeswitch-01,de_DE,grounded_qa,1,1.0,1,,1.0,1,,,0,1,1,1,0,,1909.1,0,0,,,3,23.2,
